CÓDIGO;NOME DA UNIDADE;HELIDECK;;SITUAÇÃO;PORTARIA;Última atualização 13/01/2021
;;Resistência do piso (kg);Comprimento máximo do maior helicóptero a operar (m);;;VALIDADE
9PJD;TOP ESTRELA DO MAR;12.800;22,20;PORTARIA VÁLIDA;1119/SIA, de 09/04/2018;16/01/2021
9PYU;HAI YANG SHI YOU 720;12.800;19,50;PORTARIA VÁLIDA;3701/SIA, de 14/12/2020;30/01/2021
9PZA;PETROBRAS 25 P-25;12.800;22,28;PORTARIA VÁLIDA;1622/SIA, de 24/05/18;01/02/2021
9PHE;CARMEN KNUTSEN;12.800;20,88;PORTARIA VÁLIDA;1662/SIA, de 29/05/18;05/02/2021
9PTF;PETROBRAS 74 P-74;12.800;22,20;PORTARIA VÁLIDA;1900/SIA, de 19/06/2018;07/02/2021
9PCI;FPSO CIDADE DO RIO DE JANEIRO MV 14;9.300;19,50;PORTARIA VÁLIDA;1649/SIA, de 28/05/18;20/02/2021
9PBH;SSV VICTORIA;12.800;22,20;PORTARIA VÁLIDA;2041/SIA, de 29/06/2018;21/02/2021
9PGF;ODN I;13.000;22,20;PORTARIA VÁLIDA;1668/SIA, de 29/05/18;21/02/2021
9PRX;PETROBRAS 67 P-67;12.800;22,20;PORTARIA VÁLIDA;1126/SIA, de 09/04/2018;26/02/2021
9PBF;SKANDI SANTOS;12.800;20,88;PORTARIA VÁLIDA;1123/SIA, de 09/04/2018;27/02/2021
9PDU;AKER WAYFARER;12.800;20,88;PORTARIA VÁLIDA;3200/SIA, de 09/11/2020;28/02/2021
9PTU;WEST TELLUS;12.800;24,00;PORTARIA VÁLIDA;1667/SIA, de 29/05/18;11/03/2021
9PAA;FPSO CIDADE DE SANTOS MV20;12.800;22,20;PORTARIA VÁLIDA;3034/SIA, de 01/10/2018;12/03/2021
9PSS;PETROBRAS IX (P-09);5.500;19,50;PORTARIA VÁLIDA;1150/SIA, de 15/04/19;14/03/2021
9PWS;WEST SATURN;13.000;23,00;PORTARIA VÁLIDA;1117/SIA, de 09/04/2018;16/03/2021
9PFI;ETESCO TAKATSUGU J;12.800;22,20;PORTARIA VÁLIDA;1626/SIA, de 25/05/18;28/03/2021
9PFE;ODN DELBA III;12.800;22,20;PORTARIA VÁLIDA;1764/SIA, de 07/06/2018;31/03/2021
