Última atualização: 18/01/2021;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Código OACI;CIAD;Nome;Município;UF;Longitude;Latitude;Altitude;Operação;Designação;Comprimento;Largura;Resistência;Superfície;Validade do Registro;Portaria de Registro;Link Portaria
SSDM;BA0154;Fazenda Serinhaém;ITUBERÁ;Bahia;"038°59'20,5""O";"13°50'00,7""S";5;VFR Diurna;4/22;790;18;5700Kg / ,5 MPa;Cascalho;26/03/2024;PA2014-0696;https://pergamum.anac.gov.br/arquivos/PA2014-0696
SSDG;MT0283;Fazenda Nossa Senhora das Graças;SORRISO;Mato Grosso;"055°50'04,0""O";"12°53'47,0""S";406;VFR Diurna;3/21;700;18;5700Kg / ,5 MPa;Cascalho;24/05/2028;PA2018-1490;https://pergamum.anac.gov.br/arquivos/PA2018-1490
SDSI;MA0016;Fazenda Alice;SAMBAÍBA;Maranhão;"045°41'34,0""O";"07°37'39,0""S";378;VFR Diurna;18/36;920;18;5700Kg / ,5 MPa;Piçarra;06/11/2024;PA2016-0702;https://pergamum.anac.gov.br/arquivos/PA2016-0702
SWAD;GO0115;Fazenda Santa Adelaide;BOM JESUS DE GOIÁS;Goiás;"049°35'49,0""O";"18°15'39,0""S";487;VFR Diurna;3/21;900;18;5700Kg / ,5 MPa;Cascalho;01/07/2023;PA2013-1648;https://pergamum.anac.gov.br/arquivos/PA2013-1648
SWLR;GO0135;Fazenda Perdizes;SILVÂNIA;Goiás;"048°24'59,2""O";"16°27'19,7""S";424;VFR Diurna;15/33;700;25;5700Kg / ,5 MPa;Cascalho;01/10/2023;PA2013-2541;https://pergamum.anac.gov.br/arquivos/PA2013-2541
SNVY;MS0231;Fazenda Ouro Verde;PARANHOS;Mato Grosso do Sul;"055°21'55,0""O";"23°58'37,0""S";396;VFR Diurna;16/34;1000;40;5000Kg / ,5 MPa;Grama;22/08/2023;PA2013-2127;https://pergamum.anac.gov.br/arquivos/PA2013-2127
SNTP;PA0107;Agropalma;TAILÂNDIA;Pará;"048°45'17,0""O";"02°31'45,9""S";20;VFR Diurna;13/31;1300;20;8/F/A/Y/T;Piçarra;05/12/2023;PA2015-3185;https://pergamum.anac.gov.br/arquivos/PA2015-3185
SNFP;MT0250;Fazenda Pirapó;SORRISO;Mato Grosso;"055°51'24,0""O";"12°12'41,0""S";352;VFR Diurna;10/28;1100;18;5500Kg / ,5 MPa;Cascalho;17/01/2023;PA2013-2964;https://pergamum.anac.gov.br/arquivos/PA2013-2964
SNXE;AP0009;Aero Z Ferrus;FERREIRA GOMES;Amapá;"051°07'15,0""O";"00°59'36,0""N";73;VFR Diurna;5/23;1000;18;5700Kg / ,5 MPa;Piçarra;20/12/2021;PA2011-2469;https://pergamum.anac.gov.br/arquivos/PA2011-2469
SWCP;SP0272;Pontal;PONTAL;São Paulo;"048°00'42,0""O";"21°01'58,0""S";535;VFR Diurna;10/28;800;18;13/F/B/X/T;Terra;;;
SDQH;MT0056;Fazenda Santa Clara;CASTANHEIRA;Mato Grosso;"058°36'10,0""O";"10°39'12,0""S";1;VFR Diurna;15/33;1500;18;18/F/A/X/T;Asfalto;31/07/2025;PA2015-2029;https://pergamum.anac.gov.br/arquivos/PA2015-2029
SDMF;MS0038;Fazenda Damaro;MIRANDA;Mato Grosso do Sul;"056°26'19,0""O";"19°58'39,0""S";105;VFR Diurna;1/19;500;23;5600Kg / ,5 MPa;Cascalho;17/07/2025;PA2015-1887;https://pergamum.anac.gov.br/arquivos/PA2015-1887
SIRX;MT0128;Fazenda Santo Reis;LAMBARI D'OESTE;Mato Grosso;"057°47'38,0""O";"15°16'51,0""S";200;VFR Diurna;2/20;800;18;5700Kg / ,5 MPa;Grama;09/10/2025;PA2015-2670;https://pergamum.anac.gov.br/arquivos/PA2015-2670
SNDX;AL0007;Cachoeira;CORURIPE;Alagoas;"036°19'33,0""O";"10°02'26,0""S";105;VFR Diurna;16/34;800;20;4000Kg / ,5 MPa;Piçarra;11/01/2022;PA2017-2415;https://pergamum.anac.gov.br/arquivos/PA2017-2415
SSXY;PI0041;Fazenda Rainha da Serra;URUÇUÍ;Piauí;"044°23'01,0""O";"07°56'34,0""S";503;VFR Diurna;10/28;1400;30;5700Kg / ,5 MPa;Grama;13/05/2025;PA2015-1113;https://pergamum.anac.gov.br/arquivos/PA2015-1113
SDVS;SP0155;Fazenda Vassoural;PONTAL;São Paulo;"048°01'52,0""O";"21°04'27,0""S";549;VFR Diurna;17/35;900;23;5700Kg / ,5 MPa;Terra;13/06/2022;PA2016-1950;https://pergamum.anac.gov.br/arquivos/PA2016-1950
SSYZ;MS0356;Fazenda Cedro;ARAL MOREIRA;Mato Grosso do Sul;"055°24'42,9""O";"22°51'01,2""S";486;VFR Diurna;9/27;1000;23;5700Kg / ,5 MPa;Asfalto;05/04/2022;PA2019-1228;https://pergamum.anac.gov.br/arquivos/PA2019-1228
SWQX;MS0393;Fazenda Cachoeira;ÁGUA CLARA;Mato Grosso do Sul;"053°04'53,0""O";"19°41'54,0""S";494;VFR Diurna;14/32;1100;20;5600Kg / ,5 MPa;Terra;29/05/2025;PA2015-1282;https://pergamum.anac.gov.br/arquivos/PA2015-1282
SNLF;MT0257;Fazenda Três Flechas;VILA RICA;Mato Grosso;"051°53'19,0""O";"10°04'54,0""S";290;VFR Diurna;1/19;1100;18;5700Kg / ,5 MPa;Terra;10/04/2025;PA2019-123;https://pergamum.anac.gov.br/arquivos/PA2019-123
SIFX;PA0045;Fazenda  Patropi;SÃO FÉLIX DO XINGU;Pará;"051°36'39,0""O";"09°18'29,0""S";300;VFR Diurna;12/30;1000;20;5700Kg / ,5 MPa;Cascalho;06/11/2024;PA2018-3862;https://pergamum.anac.gov.br/arquivos/PA2018-3862
SSEQ;MA0045;Renascer;ARAME;Maranhão;"045°50'42""O";"04°47'03,0""S";304;VFR Diurna;18/36;1000;18;5700Kg / ,5 MPa;Piçarra;23/03/2025;PA2015-0697;https://pergamum.anac.gov.br/arquivos/PA2015-0697
SNNO;MT0259;Fazenda São Domingos;COMODORO;Mato Grosso;"059°51'59,0""O";"14°03'50,0""S";305;VFR Diurna;10/28;850;30;4000Kg / ,5 MPa;Grama;16/01/2023;PA2013-0086;https://pergamum.anac.gov.br/arquivos/PA2013-0086
SDRV;MS0049;Tenoar;CHAPADÃO DO SUL;Mato Grosso do Sul;"052°41'12,0""O";"18°44'54,0""S";821;VFR Diurna;3/21;1000;20;5000Kg / ,5 MPa;Cascalho;17/04/2023;PA2013-0971;https://pergamum.anac.gov.br/arquivos/PA2013-0971
SJSX;GO0086;Fazenda Forquilha;MATRINCHÃ;Goiás;"050°50'12,0""O";"15°12'59,0""S";328;VFR Diurna;11/29;1200;20;5700Kg / ,5 MPa;Cascalho;;;
